#bytes    ns/elem
1024   0.535224   # (N=64, reps=39062500) 1/97
1216   1.01293   # (N=76, reps=30186281) 2/97
1456   0.868413   # (N=91, reps=23039227) 3/97
1728   1.03265   # (N=108, reps=17819453) 4/97
2048   1.05853   # (N=128, reps=13810679) 5/97
2432   1.00862   # (N=152, reps=10672462) 6/97
2896   1.0143   # (N=181, reps=8213195) 7/97
3440   0.99218   # (N=215, reps=6344133) 8/97
4096   1.01904   # (N=256, reps=4882813) 9/97
4864   1.01145   # (N=304, reps=3773285) 10/97
5792   1.02208   # (N=362, reps=2903803) 11/97
6896   0.992842   # (N=431, reps=2235188) 12/97
8192   1.04094   # (N=512, reps=1726335) 13/97
9744   0.991878   # (N=609, reps=1330773) 14/97
11584   1.03279   # (N=724, reps=1026649) 15/97
13776   0.986301   # (N=861, reps=791636) 16/97
16384   0.966336   # (N=1024, reps=610352) 17/97
19488   1.01358   # (N=1218, reps=470499) 18/97
23168   0.967571   # (N=1448, reps=362975) 19/97
27552   0.993641   # (N=1722, reps=279885) 20/97
32768   1.00715   # (N=2048, reps=215792) 21/97
38960   1.47587   # (N=2435, reps=166449) 22/97
46336   1.82055   # (N=2896, reps=128331) 23/97
55104   1.94487   # (N=3444, reps=98954) 24/97
65536   2.21329   # (N=4096, reps=76294) 25/97
77936   2.34665   # (N=4871, reps=58831) 26/97
92688   2.36422   # (N=5793, reps=45360) 27/97
110224   2.45135   # (N=6889, reps=34978) 28/97
131072   2.625   # (N=8192, reps=26974) 29/97
155872   2.64053   # (N=9742, reps=20800) 30/97
185360   2.68782   # (N=11585, reps=16039) 31/97
220432   2.76193   # (N=13777, reps=12368) 32/97
262144   3.35966   # (N=16384, reps=9537) 33/97
311744   4.72851   # (N=19484, reps=7354) 34/97
370720   6.37279   # (N=23170, reps=5671) 35/97
440864   7.49099   # (N=27554, reps=4373) 36/97
524288   8.11511   # (N=32768, reps=3372) 37/97
623488   9.46506   # (N=38968, reps=2600) 38/97
741456   9.40698   # (N=46341, reps=2005) 39/97
881744   10.6101   # (N=55109, reps=1546) 40/97
1048576   10.589   # (N=65536, reps=1192) 41/97
1246976   11.1154   # (N=77936, reps=919) 42/97
1482912   11.4358   # (N=92682, reps=709) 43/97
1763488   11.4318   # (N=110218, reps=547) 44/97
2097152   12.157   # (N=131072, reps=421) 45/97
2493952   11.5277   # (N=155872, reps=325) 46/97
2965824   12.1157   # (N=185364, reps=251) 47/97
3526976   12.1786   # (N=220436, reps=193) 48/97
4194304   13.4055   # (N=262144, reps=149) 49/97
4987904   12.7298   # (N=311744, reps=115) 50/97
5931648   13.1893   # (N=370728, reps=89) 51/97
7053952   14.9045   # (N=440872, reps=68) 52/97
8388608   18.9866   # (N=524288, reps=53) 53/97
9975792   26.8726   # (N=623487, reps=41) 54/97
11863280   38.9324   # (N=741455, reps=31) 55/97
14107904   48.1973   # (N=881744, reps=24) 56/97
16777216   56.7748   # (N=1048576, reps=19) 57/97
19951584   67.4749   # (N=1246974, reps=14) 58/97
23726560   76.7028   # (N=1482910, reps=11) 59/97
28215808   80.3812   # (N=1763488, reps=9) 60/97
33554432   86.033   # (N=2097152, reps=7) 61/97
39903168   92.2232   # (N=2493948, reps=5) 62/97
47453136   94.9993   # (N=2965821, reps=4) 63/97
56431600   96.2501   # (N=3526975, reps=3) 64/97
67108864   98.1493   # (N=4194304, reps=2) 65/97
79806336   100.778   # (N=4987896, reps=2) 66/97
94906272   103.426   # (N=5931642, reps=1) 67/97
112863200   105.622   # (N=7053950, reps=1) 68/97
134217728   108.368   # (N=8388608, reps=1) 69/97
159612672   110.909   # (N=9975792, reps=1) 70/97
189812528   95.8296   # (N=11863283, reps=1) 71/97
225726416   98.6976   # (N=14107901, reps=1) 72/97
268435456   115.408   # (N=16777216, reps=1) 73/97
319225360   117.306   # (N=19951585, reps=1) 74/97
379625056   118.435   # (N=23726566, reps=1) 75/97
451452832   119.39   # (N=28215802, reps=1) 76/97
536870912   121.206   # (N=33554432, reps=1) 77/97
638450704   121.389   # (N=39903169, reps=1) 78/97
759250128   121.4   # (N=47453133, reps=1) 79/97
902905648   121.776   # (N=56431603, reps=1) 80/97
1073741824   123.187   # (N=67108864, reps=1) 81/97
1276901424   125.26   # (N=79806339, reps=1) 82/97
1518500256   125.581   # (N=94906266, reps=1) 83/97
1805811296   126.414   # (N=112863206, reps=1) 84/97
2147483648   128.055   # (N=134217728, reps=1) 85/97
2553802832   133.159   # (N=159612677, reps=1) 86/97
3037000496   134.443   # (N=189812531, reps=1) 87/97
3611622608   144.78   # (N=225726413, reps=1) 88/97
4294967296   152.617   # (N=268435456, reps=1) 89/97
5107605664   160.662   # (N=319225354, reps=1) 90/97
6074000992   167.896   # (N=379625062, reps=1) 91/97
7223245200   176.379   # (N=451452825, reps=1) 92/97
8589934592   183.986   # (N=536870912, reps=1) 93/97
10215211328   189.575   # (N=638450708, reps=1) 94/97
12148002000   201.73   # (N=759250125, reps=1) 95/97
14446490416   226.199   # (N=902905651, reps=1) 96/97
17179869184   298.679   # (N=1073741824, reps=1) 97/97
